PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,35566.71689796448,1506731.4090000014,254637,5.917173894602911
40,32784.95103979111,1390702.467000004,237217,5.862575055750658
50,29938.159209489822,1285655.451000004,220184,5.839004882280293
60,25169.85219144821,1161226.6989999898,225022,5.16050296859858
70,15222.71218252182,814033.3600000032,219178,3.714028597760739
80,12955.866775751114,792066.8990000058,256244,3.0910651527450623
90,10110.409591197968,691416.0650000011,262221,2.63676847010728
100,7522.984584569931,558188.3969999974,235508,2.3701462243320712
110,7687.8877148628235,626957.9719999994,242923,2.5808917722899825
120,8765.122391462326,777290.3760000041,277675,2.7992810876024277
130,7736.724675178528,741357.9059999955,249086,2.9763130244172515
