PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,1464.5370697975159,57925.636999999995,38949,1.4872175665614007
40,1438.73362159729,56747.437000000005,38369,1.4789918163100422
50,1566.0373923778534,61989.61400000001,41734,1.4853504097378638
60,872.7860381603241,40342.136000000006,40410,0.998320613709478
70,524.7083694934845,28140.487,38314,0.7344700892624106
80,381.75327706336975,23189.160999999996,38458,0.6029736595766809
90,4000.8038942813873,266624.11399999395,365251,0.7299750418205397
100,312.73386096954346,23032.675,38989,0.5907480314960629
110,309.55806827545166,24896.543000000012,39169,0.6356185503842328
120,306.51795172691345,26432.527000000006,39168,0.6748500561683008
130,310.1656048297882,28344.481,39919,0.7100498759988978
