PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,10832.965143442154,877628.3130000037,179051,4.901554936861586
110,8260.214799880981,734973.9570000023,175780,4.181214910683822
120,6490.799661159515,628993.352000001,171201,3.6740051284747226
130,5415.193945407867,567336.363999999,173672,3.2667117554931075
140,4564.548310756683,512882.58999999805,172891,2.966508320271142
150,4206.20721244812,497455.68599999894,182853,2.7205224196485642
160,3757.8486280441284,465500.2440000003,177214,2.6267690137348083
170,3535.3199405670166,461417.107,174070,2.6507560579077385
180,3415.857602596283,471457.14499999984,169606,2.779719732792471
190,5023.53533911705,731618.0149999927,244857,2.987939960875093
200,3334.8812136650085,511335.85500000004,166876,3.064166536829742
210,3488.6917991638184,561494.9639999998,174960,3.2092762002743473
220,3612.635377407074,609375.6450000003,180991,3.3668836848241086
230,3396.048476934433,598966.14,170722,3.50842972786167
240,3454.7885937690735,635804.4789999996,174192,3.6500211203729194
250,3356.1152696609497,642110.345,169509,3.7880604864638454
