PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,5496.859673976898,241030.38999999993,75767,3.1812054060474866
40,5677.412544965744,249490.50099999993,78131,3.1932331724923517
50,5701.273264169693,248861.83399999986,78547,3.1683174914382453
60,4509.102962732315,208937.00699999993,75210,2.7780482249700826
70,6195.531795501709,333016.7169999977,155349,2.1436682373236886
80,1982.5445883274078,121459.54799999995,75322,1.612537479089774
90,1495.1830594539642,101232.50400000002,74799,1.3533938154253402
100,1385.9329166412354,101888.49200000006,76631,1.3295988829585945
110,1322.4346001148224,106716.38500000001,74079,1.440575399235951
120,1361.069181919098,119430.69200000004,76993,1.551188965230606
130,1354.7103531360626,128429.25300000001,77010,1.667695792754188
