PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,905.5015227794647,74134.81400000001,22995,3.2239536420961086
110,729.6259906291962,65159.546,23410,2.78340649295173
120,623.2657308578491,60610.56699999999,24538,2.470069565571766
130,496.1757035255432,51938.085999999996,23568,2.2037544976238967
140,415.6496069431305,45348.86299999999,23186,1.9558726386612606
150,406.6241977214813,46607.592,24265,1.92077444879456
160,381.42937421798706,46092.373999999996,23620,1.9514129551227772
170,392.88988757133484,50342.44800000001,24518,2.0532852598091202
180,415.0547661781311,56239.918,25928,2.1690804535637147
190,392.8048324584961,56164.92100000001,24635,2.279883133752791
200,363.3696792125702,54706.734,22884,2.390610644992134
210,386.64326310157776,61077.265000000014,24358,2.507482757205026
220,402.45912408828735,66587.31,25363,2.6253719985806097
230,395.7194399833679,68396.907,24958,2.740480286881962
240,373.4962921142578,67255.237,23614,2.848108622003896
250,391.70941710472107,73419.88100000001,24773,2.963705687643806
