PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,19331.17290186882,2277429.4080000003,248309,9.17175538542703
160,16823.895749807358,2111930.3290000013,248244,8.507477840350628
170,15036.205758094788,2006656.4589999989,252237,7.955440553923488
180,12975.196649312973,1831998.4060000011,240512,7.617076927554555
190,12699.379702806473,1886605.0539999998,262727,7.180857140682152
200,11320.333324432373,1770625.4650000005,258464,6.850568996069087
210,9063.00721335411,1489616.8610000005,227643,6.54365326849497
220,8632.345149040222,1486211.0419999992,236869,6.274400795376344
230,8739.449128627777,1570129.8170000007,257605,6.095106139244194
240,7598.549446105957,1424815.9419999998,240779,5.917525789209191
250,7726.760795116425,1507745.3169999998,260584,5.78602414960243
260,7158.505557537079,1453487.1239999991,254809,5.7042220800678125
270,6464.776795864105,1360974.1299999994,242911,5.602768627192673
280,6176.525959253311,1346551.2299999997,244922,5.497877814161242
290,6184.355719566345,1397474.7969999993,257113,5.435255304088083
300,6285.572522878647,1468070.916999999,272951,5.378514520921334
310,5673.334895372391,1370651.5010000004,256971,5.333876200038138
320,5048.882263660431,1250221.0119999999,239084,5.229212377239798
330,5091.859841108322,1302573.3619999988,248608,5.239466799137594
340,5265.978804111481,1389410.1949999991,263896,5.264991492860821
350,4517.304595947266,1227916.5909999995,234485,5.236653052434056
360,4687.113048315048,1309564.1830000002,249193,5.255220584045299
370,4646.293359279633,1334058.7380000004,253211,5.268565496759621
380,4585.163482427597,1352318.5970000003,255582,5.291133949182651
390,4879.530939340591,1474808.0690000006,276633,5.3312803208583235
400,3822.148402452469,1181762.0899999996,222916,5.30137850131888
410,4210.182119131088,1332208.3279999995,248461,5.361840803989357
420,4436.883460998535,1436308.5530000005,264476,5.430770856334792
430,4329.121340513229,1434341.2590000003,260627,5.503425427910386
440,4053.371832370758,1372441.5590000001,246979,5.556916009053402
450,4258.058823823929,1471985.8139999993,261572,5.627459414616241
460,4180.809860467911,1476252.9390000007,258029,5.721267528068553
470,3914.031334400177,1410314.7569999998,243411,5.793964763301576
480,3996.002422809601,1469582.2429999998,249379,5.892967102282068
490,3911.1604766845703,1467074.762,244931,5.989747161445469
500,4483.9422743320465,1717426.8849999995,280416,6.124568088126211
510,4186.183168172836,1634553.8059999996,263413,6.20528905558951
520,3936.1902565956116,1564477.7639999993,249177,6.278580141826891
530,4027.126786708832,1631555.996,255197,6.393319655011618
540,3890.243668317795,1604951.5500000007,246906,6.500253335277396
550,4173.096521854401,1751420.123,264820,6.613624813080583
560,3688.8703937530518,1575070.1529999992,234853,6.706621388698459
570,4264.632644891739,1855058.3040000002,270736,6.851908516045152
580,4257.3933827877045,1884593.2879999997,270916,6.956374994463228
590,3640.6065804958344,1634898.9499999995,232588,7.02916294047844
600,3807.7188408374786,1740622.293,243220,7.156575499547735
