PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,1834.815613746643,80640.218,39664,2.033083350141186
40,1973.6170208454132,87467.85800000002,42849,2.0413045345282277
50,1800.9687504768372,79977.562,39061,2.0475042113617166
60,1528.3544788360596,70781.41900000001,37808,1.8721280945831573
70,1109.9008967876434,59695.99200000001,43149,1.3834849475074744
80,752.6361308097839,45692.41600000001,40940,1.116082462139717
90,662.2605419158936,43689.577000000005,44099,0.990715821220436
100,607.3148851394653,44119.544,41693,1.058200273427194
110,584.3667395114899,46507.11299999998,40407,1.150966738436409
120,1172.509200334549,102634.35600000019,72274,1.42007299997233
130,600.6049602031708,55756.409,41877,1.3314327435107576
