PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,17.108814477920532,5671.014,5094,1.1132732626619553
2,2.8022751808166504,713.739,698,1.0225487106017193
3,8.828386545181274,3032.6019999999994,2924,1.0371415868673048
4,1.1163296699523926,277.095,195,1.421
5,2.4364330768585205,760.28,887,0.8571364148816234
6,5.9562225341796875,2031.1370000000004,2027,1.0020409472126297
7,5.5984954833984375,1836.85,1856,0.9896821120689655
8,1.770498275756836,494.959,512,0.966716796875
9,1.905738353729248,609.7230000000001,664,0.9182575301204821
10,4.130337715148926,1378.3239999999998,1461,0.9434113620807665
11,11.520339965820312,3905.0329999999994,3641,1.0725166163141993
12,4.549695730209351,1440.0739999999996,1423,1.0119985945186223
13,4.22980523109436,1381.8149999999998,1449,0.9536335403726707
14,9.78984546661377,3360.6719999999996,3146,1.0682364907819453
15,3.0835773944854736,892.7539999999999,941,0.9487290116896917
16,13.178906917572021,4579.0470000000005,4127,1.1095340440998305
17,4.227421283721924,1263.8410000000001,1287,0.9820054390054391
18,3.0522494316101074,986.8230000000002,1040,0.9488682692307694
19,5.570221185684204,1899.413,1904,0.9975908613445378
20,1.252549648284912,312.596,316,0.9892278481012658
21,5.777635097503662,1965.0870000000004,2013,0.9761982116244413
22,3.2367641925811768,1050.0390000000002,1066,0.9850272045028144
23,6.42674994468689,2142.767,2160,0.9920217592592592
24,2.487011671066284,759.72,780,0.9740000000000001
25,6.552188873291016,2204.616,2227,0.9899488100583745
26,3.8663532733917236,1219.129,1282,0.9509586583463338
27,2.1516871452331543,671.4290000000001,696,0.9646968390804599
28,2.164795160293579,696.9630000000001,752,0.9268125000000002
29,2.7300171852111816,920.4549999999998,957,0.9618129571577846
30,17.349230527877808,5981.495000000003,5166,1.157858110723965
31,3.1676619052886963,841.686,821,1.025196102314251
32,3.450098752975464,1140.464,1228,0.9287166123778501
33,5.803046464920044,1978.1000000000004,1962,1.008205912334353
34,6.170842409133911,2059.236,2041,1.008934835864772
35,3.8217408657073975,1203.6570000000004,1282,0.9388900156006244
36,2.1646859645843506,673.9670000000002,719,0.9373671766342144
37,32.47640919685364,10982.324999999993,8174,1.343568020552972
38,8.549826622009277,2600.049,2434,1.068220624486442
39,7.080271482467651,2354.3900000000003,2284,1.030818739054291
40,6.600539207458496,2185.2230000000004,2165,1.0093408775981527
41,2.9018819332122803,884.3419999999999,930,0.9509053763440859
42,2.7782135009765625,893.3240000000001,958,0.9324885177453028
43,4.514917612075806,1552.7369999999999,1572,0.9877461832061067
44,3.4580845832824707,1083.134,1174,0.9226013628620102
45,6.04433274269104,2038.6340000000005,2047,0.9959130434782612
46,4.796957731246948,1557.9150000000004,1568,0.9935682397959187
47,2.340064287185669,734.6090000000002,765,0.9602732026143793
48,10.975393295288086,3777.4189999999994,3525,1.0716082269503544
49,2.873880386352539,833.6790000000002,843,0.9889430604982209
50,2.3021790981292725,724.045,796,0.9096042713567839
