PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,4721.143385648727,214720.825,40944,5.244256179171551
40,4607.986706972122,210467.65099999978,40020,5.259061744127931
50,4564.11906170845,208403.70099999986,39644,5.2568787458379544
60,4355.498855113983,202241.49299999975,40030,5.052248138895822
70,2773.9264991283417,149967.57999999987,40773,3.67811002379025
80,1959.2316093444824,120641.46199999997,40512,2.9779191844391777
90,1498.9905395507812,103530.00500000002,40916,2.5303061149672503
100,1184.9315836429596,87754.32600000002,39630,2.2143408024224076
110,1169.8256340026855,94066.44200000002,40554,2.3195354835527944
120,1179.2335722446442,103258.995,41080,2.5136074732229794
130,1142.1735072135925,107963.56100000002,39962,2.7016555978179273
