PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,886.4151442050934,34675.858,22698,1.527705436602344
40,917.4203715324402,36106.59000000001,23572,1.5317575937553034
50,916.4374418258667,36068.69000000002,23667,1.5240076900325354
60,522.8595201969147,24193.634000000002,23964,1.0095824570188616
70,326.00974440574646,17537.712,23221,0.7552522285861936
80,245.8563232421875,14902.110999999994,23856,0.6246693075117368
90,218.73676705360413,14675.481000000002,23701,0.6191924813299018
100,198.08359813690186,14689.982,21953,0.6691560151232178
110,200.34640097618103,16301.548999999999,22707,0.717908530409125
120,196.35966205596924,17234.434,22576,0.7633962615166549
130,203.02712082862854,18759.618000000002,23453,0.7998813797808384
