PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,63.139448404312134,13408.925000000007,5207,2.575172844248129
2,103.54009437561035,21707.874999999993,8174,2.6557224125275254
3,103.36269235610962,21754.636999999973,8175,2.661117675840975
4,103.31290411949158,21719.885999999977,8171,2.6581674213682507
5,19.954731464385986,4085.947999999999,1640,2.4914317073170724
6,21.706494569778442,4554.947999999997,1836,2.4809084967320243
7,16.47406578063965,3444.089000000001,1392,2.4742018678160926
8,102.75254964828491,21753.799999999996,8175,2.661015290519877
9,103.41633725166321,21815.437999999973,8177,2.6679024091965235
10,13.946961164474487,2788.4829999999997,1121,2.4874959857270293
11,27.98763871192932,5891.382000000001,2368,2.4879146959459466
12,102.98095464706421,21774.20699999998,8180,2.661883496332516
13,20.19981813430786,4156.883000000001,1655,2.5117117824773416
14,17.994184017181396,3742.004,1523,2.456995403808273
15,16.92818832397461,3527.2469999999994,1428,2.4700609243697476
16,20.89596199989319,4360.954999999999,1772,2.4610355530474033
17,12.149254322052002,2522.0499999999997,1022,2.4677592954990213
18,10.667480707168579,2211.2660000000005,897,2.465179487179488
19,12.288819313049316,2525.2680000000005,1032,2.4469651162790704
20,17.17577362060547,3567.3269999999998,1457,2.448405628002745
21,32.809002161026,6863.419000000002,2756,2.490355224963716
22,102.97925782203674,21716.916999999998,8178,2.6555291024700414
23,16.96766495704651,3344.1680000000006,1338,2.499378176382661
24,27.293930530548096,5733.520999999997,2310,2.4820437229437218
25,103.01781058311462,21730.527999999988,8179,2.656868565839343
26,28.714372873306274,5956.182999999997,2370,2.5131573839662438
27,18.46470618247986,3804.168,1550,2.454301935483871
28,82.16255140304565,17387.431000000004,6625,2.6245178867924532
29,20.4186589717865,4186.150999999999,1686,2.482889086595492
30,16.499268293380737,3422.484,1394,2.4551535150645623
31,27.883883714675903,5886.1240000000025,2348,2.5068671209540043
32,103.25202560424805,21854.353000000003,8178,2.6723346784054787
33,14.514334440231323,2922.2069999999994,1166,2.5061809605488845
34,56.50978875160217,11879.811000000009,4657,2.5509579128194133
35,18.486747980117798,3829.6280000000015,1540,2.4867714285714295
36,20.861434936523438,4404.357,1760,2.502475568181818
37,16.496654987335205,3438.933,1387,2.479403749098774
38,9.447277069091797,1963.8639999999998,789,2.489054499366286
39,103.25196027755737,21862.351999999966,8182,2.672005866536295
40,14.957408428192139,3051.9930000000004,1211,2.520225433526012
41,15.501183032989502,3170.7640000000024,1297,2.4446908249807264
42,73.1183729171753,15423.790999999988,5953,2.5909274315471174
43,103.31254935264587,21786.020999999997,8180,2.6633277506112467
44,19.102471590042114,3894.9080000000013,1559,2.498337395766518
45,103.0166540145874,21793.699,8179,2.664592126176794
46,31.449057817459106,6523.249,2599,2.5099072720277027
47,18.022496938705444,3752.7229999999995,1518,2.4721495388669297
48,16.766695499420166,3476.8310000000006,1417,2.4536563161609037
49,23.451850652694702,4941.978999999998,1982,2.4934303733602414
50,13.902175426483154,2893.623000000001,1167,2.4795398457583557
